id,fleet_id,model_id
6,1,511
32,1,570
53,1,86
105,9,449
13,1,389
3367,294,516
9652,554,262
1993,134,262
3939,296,467
6471,403,
101,8,117
4858,400,148
2863,134,472
5419,429,256
2460,100,390
10096,564,
1,1,474
2915,170,162
3088,190,148
2191,190,78
2992,190,86
2186,190,493
4164,238,478
826,17,118
1068,40,277
1259,67,157
749,67,493
956,67,157
3092,190,91
8,1,498
2606,134,472
5283,423,68
4954,403,88
4283,286,153
869,44,493
100,8,482
432,44,511
1115,55,641
3853,238,36
9416,554,
1969,125,144
1709,100,502
3089,190,502
177,27,484
4945,403,61
6063,456,148
3091,190,481
959,67,157
1255,67,493
1375,100,423
9729,554,492
2604,134,249
3850,238,36
5101,413,252
2711,143,478
2075,166,567
6305,74,513
2488,104,140
1816,105,455
1753,105,83
2064,166,565
4970,403,45
4961,403,74
2566,105,65
1284,74,150
7995,1,
1422,100,402
6237,1,73
1446,105,97
2495,105,253
9333,554,515
1378,100,393
180,27,96
5105,413,202
10080,58,
2058,164,104
3005,199,476
9909,95,
7,1,155
85,1,394
1876,108,366
3753,202,503
5404,429,254
7392,166,
214,31,88
6676,491,
2486,102,148
9198,554,39
3577,278,400
7114,95,
80,6,175
2852,125,37
410,32,86
1156,13,153
535,65,151
2230,202,150
5455,429,40
7043,491,
2988,188,54
3583,282,497
2893,166,568
9334,554,503
1079,47,116
2706,141,493
2283,211,106
2008,162,88
2016,162,88
7932,221,
239,43,
1926,115,301
7115,95,
2934,170,118
4923,403,78
7745,30,
243,47,118
5178,416,148
5400,429,88
9418,554,503
2701,139,78
9816,554,242
986,74,155
6013,449,57
1989,136,503
7148,95,
7558,520,
3635,225,514
110,12,153
5377,429,493
2282,211,504
2280,211,515
7931,200,
5431,429,262
2097,170,51
1641,140,456
5252,420,74
9535,554,233
10093,563,
439,47,75
3633,220,503
3815,220,514
3260,256,487
4141,357,597
9906,451,
2470,100,36
2099,170,178
8930,554,347
147,19,86
151,19,56
1083,48,159
5413,429,68
3321,251,346
5291,423,88
10064,74,
4997,403,98
21,1,154
9912,95,
841,26,449
703,65,340
29,1,262
25,1,467
5547,436,157
12,1,162
482,55,502
2776,170,484
401,30,146
137,18,162
747,67,157
594,67,157
17,1,473
1644,142,43
3284,234,148
9732,554,37
246,48,87
3242,238,553
7167,95,
8280,554,254
827,19,65
492,58,472
6886,95,
2013,142,60
10059,58,
750,67,157
8931,554,498
7175,95,
4362,373,52
7883,294,
10098,554,
1288,74,467
8030,82,
682,65,450
911,58,450
10060,294,
3294,238,36
577,66,52
9132,554,266
355,20,178
2030,144,249
71,3,249
941,66,178
2127,174,151
2153,176,513
3884,256,487
1386,102,43
738,66,144
2712,144,423
7324,100,
1100,51,237
8933,554,266
3322,252,246
2195,190,497
6920,95,
3325,256,487
4963,403,553
1678,99,82
250,48,81
9537,554,254
8035,1,
7878,294,
966,71,49
7180,95,
889,51,266
3084,190,94
3719,190,157
3576,283,39
3336,283,36
3337,283,163
769,71,458
960,67,157
2026,144,386
8037,17,
3243,238,486
4346,300,254
9812,569,145
1940,116,497
4969,403,78
494,58,464
2990,190,154
3936,294,496
5355,429,56
1611,124,660
3047,174,88
3004,199,466
4947,403,55
4135,357,597
8148,546,143
2471,100,397
9019,554,477
4645,356,478
2033,144,262
6876,95,
58,3,525
315,58,424
4360,303,390
1948,120,265
8038,108,
2330,222,498
1884,108,497
9420,554,254
2883,263,153
7587,323,
5094,413,245
3051,174,450
3341,282,87
9538,554,254
2961,174,86
473,53,
252,48,98
3011,165,306
3552,329,306
5387,429,58
7183,95,
8046,174,
3627,212,129
3491,318,491
4047,318,492
5958,448,67
5402,429,492
8566,554,262
7184,95,
2128,174,381
3634,221,491
3320,255,500
5893,448,503
1679,99,82
8173,548,494
4465,318,37
4470,318,37
4665,332,495
3289,236,584
5866,448,249
2964,174,151
4215,305,40
7185,95,
4198,302,88
613,74,153
7189,95,
5614,437,211
4983,403,52
4988,403,52
7543,520,
1325,99,82
9207,554,498
2603,136,118
8934,554,486
640,74,153
5349,429,157
3681,174,78
5825,448,262
7653,491,
1331,99,77
7158,95,
3857,241,251
3338,282,456
4385,305,224
5647,442,493
3588,282,477
1488,100,397
2957,201,470
3858,241,501
5875,448,415
8935,554,515
5729,447,262
3644,291,259
76,6,461
1348,99,77
916,62,515
1307,74,161
9421,554,354
1638,139,68
4728,365,87
5083,408,153
7623,66,
7190,95,
4593,356,39
3903,282,87
3134,209,94
5917,448,413
1183,49,146
9822,554,
7643,429,
3649,294,497
4288,291,251
4289,291,256
4387,347,51
352,17,498
5987,449,603
3945,299,501
3803,213,513
7595,457,
5793,448,262
7198,95,
1352,99,296
9737,554,254
2445,99,77
5127,414,471
6490,291,
5791,448,492
4189,294,343
4451,317,303
1421,100,398
9221,554,157
4302,291,248
5067,407,14
4329,295,88
7599,457,
3809,214,78
7209,95,
2774,170,470
5814,448,303
3370,294,493
7820,436,
255,49,146
10073,309,
3417,302,88
7066,95,
9542,554,266
8478,554,87
7212,95,
1158,13,153
4977,403,88
1116,55,363
3233,234,501
393,30,489
7078,95,
1088,49,150
7230,95,
9662,554,472
3372,295,390
5591,437,87
3479,317,303
5174,416,144
5176,416,153
1687,99,77
3481,317,78
7026,491,
803,74,49
7093,95,
7530,518,
7520,518,
7523,518,
7534,518,
6052,454,73
1092,49,157
3940,295,88
6015,450,486
7106,95,
9829,554,40
7531,518,
7432,507,
1689,99,596
8032,82,
265,49,145
48,3,345
1428,102,470
4686,360,157
3478,317,390
3463,315,482
501,58,424
6050,454,379
6837,95,
276,50,381
3379,295,70
9349,554,515
7228,95,
4040,317,305
6211,475,308
2772,170,513
1358,100,393
9666,554,472
263,49,346
6072,457,303
815,77,500
3505,321,114
365,22,463
632,74,153
9893,223,
10017,217,
7241,95,
3551,327,456
1441,105,493
10039,332,
4693,362,570
371,24,508
6473,431,
4761,366,93
1161,17,
881,50,467
9592,554,472
8882,554,
1225,65,88
1261,95,157
6703,494,
3662,295,59
4032,317,390
6194,473,118
7107,95,
3520,323,254
5970,449,93
1162,24,86
6199,475,245
6842,95,
10044,161,
1095,50,386
5516,431,70
4340,301,500
46,5,452
587,66,48
456,50,304
751,67,157
9945,327,
1166,24,262
6389,105,
9667,554,472
5953,448,493
2188,190,78
3399,302,88
6884,95,
6855,95,
4530,327,68
5076,407,253
2489,104,150
845,27,423
9908,95,
10041,332,
426,39,48
5759,448,491
9859,554,553
272,50,298
795,74,146
4364,302,88
989,90,600
6919,95,
5956,448,249
133,17,
3540,327,456
4217,309,253
1111,54,68
1099,51,268
74,5,445
4502,322,545
2017,142,68
2891,165,514
5492,431,378
7667,95,
10028,58,
6572,28,
380,27,463
4084,327,219
9140,554,254
314,58,502
6135,468,497
3972,302,87
294,54,67
4139,357,597
1300,91,87
2456,100,392
6495,291,
10067,65,
61,6,141
386,28,513
6840,95,
6443,1,
1101,51,254
1076,95,157
5969,449,484
7119,95,
7274,95,
335,12,68
10072,58,
6269,332,463
3798,213,495
6125,469,375
1196,58,467
10071,309,
1107,53,452
5085,408,74
6901,95,
9739,554,449
6201,475,306
1359,100,36
1369,100,400
476,54,482
1374,100,377
4202,302,88
6971,95,
113,12,268
6915,95,
820,13,343
3406,302,498
475,53,455
1153,65,73
317,58,470
10038,332,
10074,58,
7122,95,
8686,558,397
8707,561,511
3086,190,470
4383,302,74
788,74,515
311,58,447
8039,108,
2457,100,304
4629,366,88
1705,100,153
6904,95,
10082,113,
1224,65,75
7927,58,
9740,554,150
6571,28,
7664,95,
290,53,456
3975,302,87
2104,173,
121,16,310
1002,13,149
8108,546,471
8346,554,
686,65,498
4111,332,556
1372,100,389
4558,332,175
1123,58,425
3989,305,226
4591,356,252
347,16,131
6563,16,
843,26,73
2145,174,65
8875,554,67
4096,328,470
4688,360,154
4595,357,597
691,65,467
320,58,456
5611,437,212
1336,100,393
5720,447,245
10063,174,
8276,554,
3993,305,224
6925,95,
8253,554,347
3553,328,470
357,19,58
4604,361,309
6030,450,87
561,65,471
2455,100,397
4504,322,157
860,32,467
5148,414,423
1708,100,387
4022,313,622
496,58,471
6966,95,
6956,95,
5156,414,472
833,19,
498,58,481
5902,448,423
694,65,343
9743,554,262
7775,332,
358,19,58
146,19,86
324,58,471
363,19,65
590,68,204
9833,554,347
1677,99,82
3222,225,493
2472,100,381
4496,322,447
4605,360,479
8966,554,57
693,65,86
8309,554,
904,58,478
2830,121,304
1655,144,249
834,19,249
2874,143,482
4540,330,150
4597,356,253
1025,19,
4067,322,125
2663,154,
1304,74,474
4751,366,84
5071,407,486
152,22,497
4687,360,467
1690,99,596
5290,423,88
7110,95,
8301,554,
1332,99,306
87,3,244
7708,426,
5099,413,175
9632,554,491
799,74,452
863,36,161
8289,554,
2114,173,447
1124,58,473
5034,407,252
3931,294,621
7140,95,
1726,107,388
1253,66,467
969,71,285
2719,144,244
656,63,177
4275,332,393
8319,554,
4314,294,356
3937,294,356
1489,107,151
5139,414,439
419,36,181
1064,37,251
2846,125,36
1616,125,144
16,1,309
2443,99,596
329,58,511
7603,463,
5388,429,153
425,39,56
10070,174,
8303,554,
5215,419,259
5480,431,306
8327,554,
4586,332,116
910,58,450
771,71,284
4436,315,486
690,65,87
9363,554,491
5270,422,65
6506,429,
2821,120,478
8328,554,
5300,426,493
3455,311,157
3087,190,511
5984,449,57
4607,361,508
705,65,502
3800,213,495
687,65,73
327,58,445
5084,408,142
7759,140,
5134,414,449
5303,426,513
5361,429,254
5329,429,157
2293,213,150
8326,554,
5272,422,177
9237,554,87
7100,95,
2880,144,68
2453,99,306
7589,449,
4431,314,472
2291,212,129
638,74,467
6874,95,
5339,429,87
503,58,470
4267,332,424
8968,554,472
6819,95,
4264,329,303
571,66,88
1276,72,588
104,10,118
4235,350,50
725,66,250
5519,431,116
