boat_id,date_from,date_to,available
3,2019-11-09,2019-11-15,t
3,2019-11-16,2019-11-22,t
3,2019-11-23,2019-11-29,f
3,2019-11-30,2019-12-06,f
3,2019-12-07,2019-12-13,f
3,2019-12-14,2019-12-20,f
3,2019-12-21,2019-12-27,f
3,2019-12-28,2020-01-03,f
10,2019-11-09,2019-11-15,f
10,2019-11-16,2019-11-22,f
10,2019-11-23,2019-11-29,f
10,2019-11-30,2019-12-06,f
10,2019-12-07,2019-12-13,f
10,2019-12-14,2019-12-20,f
10,2019-12-21,2019-12-27,f
10,2019-12-28,2020-01-03,f
14,2019-11-09,2019-11-15,t
14,2019-11-16,2019-11-22,t
14,2019-11-23,2019-11-29,f
14,2019-11-30,2019-12-06,f
14,2019-12-07,2019-12-13,f
14,2019-12-14,2019-12-20,f
14,2019-12-21,2019-12-27,f
14,2019-12-28,2020-01-03,f
15,2019-11-09,2019-11-15,t
15,2019-11-16,2019-11-22,f
15,2019-11-23,2019-11-29,f
15,2019-11-30,2019-12-06,f
15,2019-12-07,2019-12-13,f
15,2019-12-14,2019-12-20,f
15,2019-12-21,2019-12-27,f
15,2019-12-28,2020-01-03,f
17,2019-11-09,2019-11-15,t
17,2019-11-16,2019-11-22,t
17,2019-11-23,2019-11-29,t
17,2019-11-30,2019-12-06,t
17,2019-12-07,2019-12-13,t
17,2019-12-14,2019-12-20,t
17,2019-12-21,2019-12-27,t
17,2019-12-28,2020-01-03,t
19,2019-11-09,2019-11-15,t
19,2019-11-16,2019-11-22,t
19,2019-11-23,2019-11-29,t
19,2019-11-30,2019-12-06,t
19,2019-12-07,2019-12-13,t
19,2019-12-14,2019-12-20,t
19,2019-12-21,2019-12-27,t
19,2019-12-28,2020-01-03,t
21,2019-11-09,2019-11-15,f
21,2019-11-16,2019-11-22,f
21,2019-11-23,2019-11-29,f
21,2019-11-30,2019-12-06,f
21,2019-12-07,2019-12-13,f
21,2019-12-14,2019-12-20,f
21,2019-12-21,2019-12-27,f
21,2019-12-28,2020-01-03,f
28,2019-11-09,2019-11-15,f
28,2019-11-16,2019-11-22,f
28,2019-11-23,2019-11-29,f
28,2019-11-30,2019-12-06,f
28,2019-12-07,2019-12-13,f
28,2019-12-14,2019-12-20,f
28,2019-12-21,2019-12-27,f
28,2019-12-28,2020-01-03,f
34,2019-11-09,2019-11-15,t
34,2019-11-16,2019-11-22,t
34,2019-11-23,2019-11-29,t
34,2019-11-30,2019-12-06,t
34,2019-12-07,2019-12-13,t
34,2019-12-14,2019-12-20,t
34,2019-12-21,2019-12-27,t
34,2019-12-28,2020-01-03,t
39,2019-11-09,2019-11-15,f
39,2019-11-16,2019-11-22,f
39,2019-11-23,2019-11-29,f
39,2019-11-30,2019-12-06,f
39,2019-12-07,2019-12-13,f
39,2019-12-14,2019-12-20,f
39,2019-12-21,2019-12-27,f
39,2019-12-28,2020-01-03,f
42,2019-11-09,2019-11-15,f
42,2019-11-16,2019-11-22,f
42,2019-11-23,2019-11-29,f
42,2019-11-30,2019-12-06,f
42,2019-12-07,2019-12-13,f
42,2019-12-14,2019-12-20,f
42,2019-12-21,2019-12-27,f
42,2019-12-28,2020-01-03,f
46,2019-11-09,2019-11-15,t
46,2019-11-16,2019-11-22,t
46,2019-11-23,2019-11-29,t
46,2019-11-30,2019-12-06,t
46,2019-12-07,2019-12-13,t
46,2019-12-14,2019-12-20,t
46,2019-12-21,2019-12-27,t
46,2019-12-28,2020-01-03,f
48,2019-11-09,2019-11-15,f
48,2019-11-16,2019-11-22,f
48,2019-11-23,2019-11-29,f
48,2019-11-30,2019-12-06,f
48,2019-12-07,2019-12-13,f
48,2019-12-14,2019-12-20,f
48,2019-12-21,2019-12-27,f
48,2019-12-28,2020-01-03,f
54,2019-11-09,2019-11-15,t
54,2019-11-16,2019-11-22,t
54,2019-11-23,2019-11-29,t
54,2019-11-30,2019-12-06,t
54,2019-12-07,2019-12-13,t
54,2019-12-14,2019-12-20,t
54,2019-12-21,2019-12-27,t
54,2019-12-28,2020-01-03,f
57,2019-11-09,2019-11-15,f
57,2019-11-16,2019-11-22,f
57,2019-11-23,2019-11-29,f
57,2019-11-30,2019-12-06,f
57,2019-12-07,2019-12-13,f
57,2019-12-14,2019-12-20,f
57,2019-12-21,2019-12-27,f
57,2019-12-28,2020-01-03,f
60,2019-11-09,2019-11-15,t
60,2019-11-16,2019-11-22,t
60,2019-11-23,2019-11-29,t
60,2019-11-30,2019-12-06,t
60,2019-12-07,2019-12-13,t
60,2019-12-14,2019-12-20,t
60,2019-12-21,2019-12-27,t
60,2019-12-28,2020-01-03,f
69,2019-11-09,2019-11-15,f
69,2019-11-16,2019-11-22,f
69,2019-11-23,2019-11-29,f
69,2019-11-30,2019-12-06,f
69,2019-12-07,2019-12-13,f
69,2019-12-14,2019-12-20,f
69,2019-12-21,2019-12-27,f
69,2019-12-28,2020-01-03,f
74,2019-11-09,2019-11-15,t
74,2019-11-16,2019-11-22,t
74,2019-11-23,2019-11-29,t
74,2019-11-30,2019-12-06,t
74,2019-12-07,2019-12-13,t
74,2019-12-14,2019-12-20,t
74,2019-12-21,2019-12-27,t
74,2019-12-28,2020-01-03,f
83,2019-11-09,2019-11-15,t
83,2019-11-16,2019-11-22,t
83,2019-11-23,2019-11-29,f
83,2019-11-30,2019-12-06,f
83,2019-12-07,2019-12-13,f
83,2019-12-14,2019-12-20,f
83,2019-12-21,2019-12-27,f
83,2019-12-28,2020-01-03,f
90,2019-11-09,2019-11-15,f
90,2019-11-16,2019-11-22,t
90,2019-11-23,2019-11-29,t
90,2019-11-30,2019-12-06,t
90,2019-12-07,2019-12-13,t
90,2019-12-14,2019-12-20,t
90,2019-12-21,2019-12-27,t
90,2019-12-28,2020-01-03,t
91,2019-11-09,2019-11-15,t
91,2019-11-16,2019-11-22,t
91,2019-11-23,2019-11-29,t
91,2019-11-30,2019-12-06,t
91,2019-12-07,2019-12-13,t
91,2019-12-14,2019-12-20,t
91,2019-12-21,2019-12-27,t
91,2019-12-28,2020-01-03,f
92,2019-11-09,2019-11-15,t
92,2019-11-16,2019-11-22,t
92,2019-11-23,2019-11-29,t
92,2019-11-30,2019-12-06,t
92,2019-12-07,2019-12-13,t
92,2019-12-14,2019-12-20,t
92,2019-12-21,2019-12-27,t
92,2019-12-28,2020-01-03,t
93,2019-11-09,2019-11-15,t
93,2019-11-16,2019-11-22,t
93,2019-11-23,2019-11-29,t
93,2019-11-30,2019-12-06,t
93,2019-12-07,2019-12-13,t
93,2019-12-14,2019-12-20,t
93,2019-12-21,2019-12-27,t
93,2019-12-28,2020-01-03,t
99,2019-11-09,2019-11-15,f
99,2019-11-16,2019-11-22,f
99,2019-11-23,2019-11-29,f
99,2019-11-30,2019-12-06,f
99,2019-12-07,2019-12-13,f
99,2019-12-14,2019-12-20,f
99,2019-12-21,2019-12-27,f
99,2019-12-28,2020-01-03,f
102,2019-11-09,2019-11-15,f
102,2019-11-16,2019-11-22,f
102,2019-11-23,2019-11-29,f
102,2019-11-30,2019-12-06,f
102,2019-12-07,2019-12-13,f
102,2019-12-14,2019-12-20,f
102,2019-12-21,2019-12-27,f
102,2019-12-28,2020-01-03,f
104,2019-11-09,2019-11-15,t
104,2019-11-16,2019-11-22,t
104,2019-11-23,2019-11-29,t
104,2019-11-30,2019-12-06,t
104,2019-12-07,2019-12-13,t
104,2019-12-14,2019-12-20,t
104,2019-12-21,2019-12-27,t
104,2019-12-28,2020-01-03,f
118,2019-11-09,2019-11-15,f
118,2019-11-16,2019-11-22,f
118,2019-11-23,2019-11-29,f
118,2019-11-30,2019-12-06,f
118,2019-12-07,2019-12-13,f
118,2019-12-14,2019-12-20,f
118,2019-12-21,2019-12-27,f
118,2019-12-28,2020-01-03,f
120,2019-11-09,2019-11-15,f
120,2019-11-16,2019-11-22,t
120,2019-11-23,2019-11-29,t
120,2019-11-30,2019-12-06,t
120,2019-12-07,2019-12-13,t
120,2019-12-14,2019-12-20,t
120,2019-12-21,2019-12-27,t
120,2019-12-28,2020-01-03,t
128,2019-11-09,2019-11-15,f
128,2019-11-16,2019-11-22,f
128,2019-11-23,2019-11-29,f
128,2019-11-30,2019-12-06,f
128,2019-12-07,2019-12-13,f
128,2019-12-14,2019-12-20,f
128,2019-12-21,2019-12-27,f
128,2019-12-28,2020-01-03,f
137,2019-11-09,2019-11-15,t
137,2019-11-16,2019-11-22,t
137,2019-11-23,2019-11-29,t
137,2019-11-30,2019-12-06,t
137,2019-12-07,2019-12-13,t
137,2019-12-14,2019-12-20,t
137,2019-12-21,2019-12-27,t
137,2019-12-28,2020-01-03,f
140,2019-11-09,2019-11-15,t
140,2019-11-16,2019-11-22,t
140,2019-11-23,2019-11-29,t
140,2019-11-30,2019-12-06,t
140,2019-12-07,2019-12-13,t
140,2019-12-14,2019-12-20,t
140,2019-12-21,2019-12-27,t
140,2019-12-28,2020-01-03,f
146,2019-11-09,2019-11-15,t
146,2019-11-16,2019-11-22,t
146,2019-11-23,2019-11-29,t
146,2019-11-30,2019-12-06,t
146,2019-12-07,2019-12-13,t
146,2019-12-14,2019-12-20,t
146,2019-12-21,2019-12-27,t
146,2019-12-28,2020-01-03,f
151,2019-11-09,2019-11-15,t
151,2019-11-16,2019-11-22,t
151,2019-11-23,2019-11-29,t
151,2019-11-30,2019-12-06,f
151,2019-12-07,2019-12-13,f
151,2019-12-14,2019-12-20,f
151,2019-12-21,2019-12-27,f
151,2019-12-28,2020-01-03,f
161,2019-11-09,2019-11-15,t
161,2019-11-16,2019-11-22,t
161,2019-11-23,2019-11-29,t
161,2019-11-30,2019-12-06,t
161,2019-12-07,2019-12-13,t
161,2019-12-14,2019-12-20,t
161,2019-12-21,2019-12-27,t
161,2019-12-28,2020-01-03,f
167,2019-11-09,2019-11-15,t
167,2019-11-16,2019-11-22,t
167,2019-11-23,2019-11-29,t
167,2019-11-30,2019-12-06,t
167,2019-12-07,2019-12-13,t
167,2019-12-14,2019-12-20,t
167,2019-12-21,2019-12-27,t
167,2019-12-28,2020-01-03,t
172,2019-11-09,2019-11-15,t
172,2019-11-16,2019-11-22,t
172,2019-11-23,2019-11-29,t
172,2019-11-30,2019-12-06,t
172,2019-12-07,2019-12-13,t
172,2019-12-14,2019-12-20,t
172,2019-12-21,2019-12-27,t
172,2019-12-28,2020-01-03,f
176,2019-11-09,2019-11-15,f
176,2019-11-16,2019-11-22,t
176,2019-11-23,2019-11-29,t
176,2019-11-30,2019-12-06,t
176,2019-12-07,2019-12-13,t
176,2019-12-14,2019-12-20,t
176,2019-12-21,2019-12-27,t
176,2019-12-28,2020-01-03,f
177,2019-11-09,2019-11-15,t
177,2019-11-16,2019-11-22,t
177,2019-11-23,2019-11-29,t
177,2019-11-30,2019-12-06,t
177,2019-12-07,2019-12-13,t
177,2019-12-14,2019-12-20,t
177,2019-12-21,2019-12-27,t
177,2019-12-28,2020-01-03,f
191,2019-11-09,2019-11-15,f
191,2019-11-16,2019-11-22,f
191,2019-11-23,2019-11-29,f
191,2019-11-30,2019-12-06,f
191,2019-12-07,2019-12-13,f
191,2019-12-14,2019-12-20,f
191,2019-12-21,2019-12-27,f
191,2019-12-28,2020-01-03,f
194,2019-11-09,2019-11-15,f
194,2019-11-16,2019-11-22,f
194,2019-11-23,2019-11-29,f
194,2019-11-30,2019-12-06,f
194,2019-12-07,2019-12-13,f
194,2019-12-14,2019-12-20,f
194,2019-12-21,2019-12-27,f
194,2019-12-28,2020-01-03,f
195,2019-11-09,2019-11-15,f
195,2019-11-16,2019-11-22,f
195,2019-11-23,2019-11-29,f
195,2019-11-30,2019-12-06,f
195,2019-12-07,2019-12-13,f
195,2019-12-14,2019-12-20,f
195,2019-12-21,2019-12-27,f
195,2019-12-28,2020-01-03,f
196,2019-11-09,2019-11-15,f
196,2019-11-16,2019-11-22,f
196,2019-11-23,2019-11-29,f
196,2019-11-30,2019-12-06,f
196,2019-12-07,2019-12-13,f
196,2019-12-14,2019-12-20,f
196,2019-12-21,2019-12-27,f
196,2019-12-28,2020-01-03,f
221,2019-11-09,2019-11-15,t
221,2019-11-16,2019-11-22,t
221,2019-11-23,2019-11-29,t
221,2019-11-30,2019-12-06,t
221,2019-12-07,2019-12-13,t
221,2019-12-14,2019-12-20,t
221,2019-12-21,2019-12-27,t
221,2019-12-28,2020-01-03,t
240,2019-11-09,2019-11-15,t
240,2019-11-16,2019-11-22,t
240,2019-11-23,2019-11-29,t
240,2019-11-30,2019-12-06,t
240,2019-12-07,2019-12-13,t
240,2019-12-14,2019-12-20,t
240,2019-12-21,2019-12-27,t
240,2019-12-28,2020-01-03,f
243,2019-11-09,2019-11-15,t
243,2019-11-16,2019-11-22,t
243,2019-11-23,2019-11-29,t
243,2019-11-30,2019-12-06,t
243,2019-12-07,2019-12-13,t
243,2019-12-14,2019-12-20,t
243,2019-12-21,2019-12-27,t
243,2019-12-28,2020-01-03,t
244,2019-11-09,2019-11-15,t
244,2019-11-16,2019-11-22,t
244,2019-11-23,2019-11-29,f
244,2019-11-30,2019-12-06,t
244,2019-12-07,2019-12-13,t
244,2019-12-14,2019-12-20,t
244,2019-12-21,2019-12-27,t
244,2019-12-28,2020-01-03,f
245,2019-11-09,2019-11-15,t
245,2019-11-16,2019-11-22,t
245,2019-11-23,2019-11-29,t
245,2019-11-30,2019-12-06,t
245,2019-12-07,2019-12-13,t
245,2019-12-14,2019-12-20,t
245,2019-12-21,2019-12-27,t
245,2019-12-28,2020-01-03,t
248,2019-11-09,2019-11-15,f
248,2019-11-16,2019-11-22,f
248,2019-11-23,2019-11-29,f
248,2019-11-30,2019-12-06,f
248,2019-12-07,2019-12-13,f
248,2019-12-14,2019-12-20,f
248,2019-12-21,2019-12-27,f
248,2019-12-28,2020-01-03,f
249,2019-11-09,2019-11-15,t
249,2019-11-16,2019-11-22,t
249,2019-11-23,2019-11-29,t
249,2019-11-30,2019-12-06,t
249,2019-12-07,2019-12-13,t
249,2019-12-14,2019-12-20,t
249,2019-12-21,2019-12-27,t
249,2019-12-28,2020-01-03,t
264,2019-11-09,2019-11-15,t
264,2019-11-16,2019-11-22,f
264,2019-11-23,2019-11-29,f
264,2019-11-30,2019-12-06,f
264,2019-12-07,2019-12-13,f
264,2019-12-14,2019-12-20,f
264,2019-12-21,2019-12-27,f
264,2019-12-28,2020-01-03,f
266,2019-11-09,2019-11-15,t
266,2019-11-16,2019-11-22,t
266,2019-11-23,2019-11-29,t
266,2019-11-30,2019-12-06,t
266,2019-12-07,2019-12-13,t
266,2019-12-14,2019-12-20,t
266,2019-12-21,2019-12-27,t
266,2019-12-28,2020-01-03,f
285,2019-11-09,2019-11-15,t
285,2019-11-16,2019-11-22,t
285,2019-11-23,2019-11-29,t
285,2019-11-30,2019-12-06,t
285,2019-12-07,2019-12-13,t
285,2019-12-14,2019-12-20,t
285,2019-12-21,2019-12-27,t
285,2019-12-28,2020-01-03,t
306,2019-11-09,2019-11-15,f
306,2019-11-16,2019-11-22,f
306,2019-11-23,2019-11-29,f
306,2019-11-30,2019-12-06,f
306,2019-12-07,2019-12-13,f
306,2019-12-14,2019-12-20,f
306,2019-12-21,2019-12-27,f
306,2019-12-28,2020-01-03,f
309,2019-11-09,2019-11-15,f
309,2019-11-16,2019-11-22,f
309,2019-11-23,2019-11-29,f
309,2019-11-30,2019-12-06,f
309,2019-12-07,2019-12-13,f
309,2019-12-14,2019-12-20,f
309,2019-12-21,2019-12-27,f
309,2019-12-28,2020-01-03,f
320,2019-11-09,2019-11-15,f
320,2019-11-16,2019-11-22,f
320,2019-11-23,2019-11-29,f
320,2019-11-30,2019-12-06,f
320,2019-12-07,2019-12-13,f
320,2019-12-14,2019-12-20,f
320,2019-12-21,2019-12-27,f
320,2019-12-28,2020-01-03,f
323,2019-11-09,2019-11-15,f
323,2019-11-16,2019-11-22,f
323,2019-11-23,2019-11-29,f
323,2019-11-30,2019-12-06,f
323,2019-12-07,2019-12-13,f
323,2019-12-14,2019-12-20,f
323,2019-12-21,2019-12-27,f
323,2019-12-28,2020-01-03,f
331,2019-11-09,2019-11-15,t
331,2019-11-16,2019-11-22,t
331,2019-11-23,2019-11-29,t
331,2019-11-30,2019-12-06,t
331,2019-12-07,2019-12-13,t
331,2019-12-14,2019-12-20,t
331,2019-12-21,2019-12-27,t
331,2019-12-28,2020-01-03,t
332,2019-11-09,2019-11-15,f
332,2019-11-16,2019-11-22,f
332,2019-11-23,2019-11-29,f
332,2019-11-30,2019-12-06,f
332,2019-12-07,2019-12-13,f
332,2019-12-14,2019-12-20,f
332,2019-12-21,2019-12-27,f
332,2019-12-28,2020-01-03,f
346,2019-11-09,2019-11-15,t
346,2019-11-16,2019-11-22,t
346,2019-11-23,2019-11-29,t
346,2019-11-30,2019-12-06,t
346,2019-12-07,2019-12-13,t
346,2019-12-14,2019-12-20,t
346,2019-12-21,2019-12-27,t
346,2019-12-28,2020-01-03,f
350,2019-11-09,2019-11-15,t
350,2019-11-16,2019-11-22,t
350,2019-11-23,2019-11-29,t
350,2019-11-30,2019-12-06,t
350,2019-12-07,2019-12-13,t
350,2019-12-14,2019-12-20,t
350,2019-12-21,2019-12-27,t
350,2019-12-28,2020-01-03,f
351,2019-11-09,2019-11-15,t
351,2019-11-16,2019-11-22,t
351,2019-11-23,2019-11-29,t
351,2019-11-30,2019-12-06,t
351,2019-12-07,2019-12-13,t
351,2019-12-14,2019-12-20,t
351,2019-12-21,2019-12-27,t
351,2019-12-28,2020-01-03,f
352,2019-11-09,2019-11-15,t
352,2019-11-16,2019-11-22,t
352,2019-11-23,2019-11-29,t
352,2019-11-30,2019-12-06,t
352,2019-12-07,2019-12-13,t
352,2019-12-14,2019-12-20,t
352,2019-12-21,2019-12-27,t
352,2019-12-28,2020-01-03,f
354,2019-11-09,2019-11-15,t
354,2019-11-16,2019-11-22,t
354,2019-11-23,2019-11-29,t
354,2019-11-30,2019-12-06,t
354,2019-12-07,2019-12-13,t
354,2019-12-14,2019-12-20,t
354,2019-12-21,2019-12-27,t
354,2019-12-28,2020-01-03,f
359,2019-11-09,2019-11-15,t
359,2019-11-16,2019-11-22,t
359,2019-11-23,2019-11-29,t
359,2019-11-30,2019-12-06,f
359,2019-12-07,2019-12-13,f
359,2019-12-14,2019-12-20,f
359,2019-12-21,2019-12-27,f
359,2019-12-28,2020-01-03,f
360,2019-11-09,2019-11-15,t
360,2019-11-16,2019-11-22,t
360,2019-11-23,2019-11-29,t
360,2019-11-30,2019-12-06,t
360,2019-12-07,2019-12-13,t
360,2019-12-14,2019-12-20,t
360,2019-12-21,2019-12-27,t
360,2019-12-28,2020-01-03,f
361,2019-11-09,2019-11-15,t
361,2019-11-16,2019-11-22,t
361,2019-11-23,2019-11-29,t
361,2019-11-30,2019-12-06,f
361,2019-12-07,2019-12-13,f
361,2019-12-14,2019-12-20,f
361,2019-12-21,2019-12-27,f
361,2019-12-28,2020-01-03,f
362,2019-11-09,2019-11-15,t
362,2019-11-16,2019-11-22,t
362,2019-11-23,2019-11-29,t
362,2019-11-30,2019-12-06,f
362,2019-12-07,2019-12-13,f
362,2019-12-14,2019-12-20,f
362,2019-12-21,2019-12-27,f
362,2019-12-28,2020-01-03,f
364,2019-11-09,2019-11-15,t
364,2019-11-16,2019-11-22,t
364,2019-11-23,2019-11-29,t
364,2019-11-30,2019-12-06,t
364,2019-12-07,2019-12-13,t
364,2019-12-14,2019-12-20,t
