id,name
1,Abacus
2,Absolute
3,Adagio
4,Admiral 
5,AGA-Marine
6,Aicon
7,Albin
8,Alfa
9,Allures
10,Alubat
11,Amel
12,Amer 
13,Archambault
14,Atlantic
15,Aventura
16,Azimut
17,Azuree
18,Bali
19,Bavaria
20,Beneteau
21,Bluestar
22,Brig
23,Bugari
24,Catana
25,Catlante
26,CNB
27,Cobra
28,Comar
29,Comfort
30,Contest
31,Cranchi 
32,D&D
33,Damor
34,Dehler
35,Delphia
36,Delta
37,Dixon
38,Dufour
39,Elan
40,Elan
41,Eminence
42,Eolo
43,EOS
44,Fairline Boats
45,Farr
46,Farrier
47,Feeling
48,Ferretti
49,Finnmaster
50,Fjord
51,Flipper 
52,Fountaine Pajot
53,Frauscher
54,Galeon
55,Gemini
56,Grand Soleil
57,Grandezza
58,Greenline
59,Hallberg-Rassy
60,Hanse
61,Hanse
62,Harmony
63,Hunter
64,Island Spirit
65,Jeanneau
66,Johnson Yachts
67,Lagoon
68,Leopard
69,Manta
70,Mar-Co
71,Marco
72,Marex 
73,Maxi
74,Mojito
75,Moody
76,More
77,MRS
78,Mursan
79,Nautika Fortis
80,Nautitech
81,Neel
82,Nimbus
83,Northman
84,Ocean Star
85,Oceantech
86,Ofcet
87,Pilot Cutter
88,Pogo
89,Princess
90,Privilege
91,Quicksilver
92,Ronautica
93,Salona
94,SAS-Vektor
95,Sea Ray 
96,Sealine
97,Seawind
98,Sessa Marine
99,Shipman
100,Sigma
101,Sly
102,Solaris
103,Starfisher
104,Staryacht
105,Sunreef
106,Sunseeker
107,Swan
108,Triplast
109,Van de Stadt
110,Varianta
111,Velamar
112,Voyage
113,Wauquiez
114,Wind
115,X-Yachts
116,Yaretti
117,Arabesque
118,Aeroyacht
119,Birdie
